MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,Delta_MFCC_0,Delta_MFCC_1,Delta_MFCC_2,Delta_MFCC_3,Delta_MFCC_4,Delta_MFCC_5,Delta_MFCC_6,Delta_MFCC_7,Delta_MFCC_8,Delta_MFCC_9,Delta_MFCC_10,Delta_MFCC_11,Delta_MFCC_12,Delta2_MFCC_0,Delta2_MFCC_1,Delta2_MFCC_2,Delta2_MFCC_3,Delta2_MFCC_4,Delta2_MFCC_5,Delta2_MFCC_6,Delta2_MFCC_7,Delta2_MFCC_8,Delta2_MFCC_9,Delta2_MFCC_10,Delta2_MFCC_11,Delta2_MFCC_12,audio_file_name,outcome
-460.2716,77.014656,49.348194,39.196476,34.61609,30.951246,27.247528,23.946735,21.38234,19.13042,16.669355,14.324936,12.378831,0.17552984,0.13787581,0.015782056,-0.021742592,-0.0035685604,0.0036309226,-0.0077197496,-0.010377961,-0.0026207727,0.0025278283,0.00020093512,5.6732533e-05,0.0064206263,-0.064543985,-0.0399886,-0.026056707,-0.013872462,-0.0054853763,-0.010984933,-0.008766184,-0.0018101672,-0.0010738281,-0.0025912016,0.00015657216,0.0037809517,0.0024177835,13918_AV.wav,0
-487.06522,55.941635,45.787674,39.56584,35.547924,31.876692,28.395237,25.112307,22.026442,19.143612,16.411295,13.85753,11.498393,0.03756308,0.030214269,0.0028690218,-0.0046665957,-0.0033574263,-0.0021288407,-0.004159484,-0.0047143563,-0.0031256464,-0.0019440652,-0.002385644,-0.002420095,-0.0006487759,-0.047744766,-0.024362814,-0.0041006417,-0.004851537,-0.00204987,-0.0008845583,-0.00086396426,-0.0003624984,0.0008914925,0.0011716087,0.00130647,0.0016927995,0.0014930983,13918_MV.wav,0
-460.5382,71.04118,49.754185,41.212933,36.40215,32.35294,28.198824,24.345268,21.08986,18.202888,15.24786,12.502199,10.201725,0.105983734,0.063480854,-0.029369038,-0.03650617,-0.023821574,-0.016412124,-0.0180719,-0.0149974115,-0.006148829,0.0010628777,0.0021798064,0.0042709624,0.009710002,-0.06438344,-0.026462793,-0.005124726,0.00820916,0.00834477,-0.0016201469,0.0024587933,0.0072339294,0.0050403727,0.00045634416,-0.0006532955,0.0021548306,0.0015598126,13918_PV.wav,0
-473.61517,59.545155,44.95218,38.365215,34.449696,31.14654,27.75891,24.609858,21.882824,19.357395,16.741266,14.243952,12.067604,0.05333217,0.03840752,0.012292053,0.008059398,0.004524918,0.000582097,-0.00016238145,0.0024602092,0.0032194068,0.0031118623,0.0035810247,0.0032327943,0.0023125967,-0.15257232,-0.07155979,0.0074429917,0.0037893474,-0.004519121,-0.0073682293,-0.0030320054,0.00034664726,-0.000116668925,-0.0023199164,-0.0030491254,-0.0042847916,-0.0061232774,13918_TV.wav,0
-466.17816,69.71469,53.19607,43.81975,38.356895,33.825928,29.537458,25.47512,21.667448,18.142406,14.847976,11.822077,9.105664,0.04193503,0.02481315,-0.0031301116,-0.002811065,0.00055483,0.00025378386,0.00060566625,0.00042959474,0.0012079843,0.002022816,0.0007806292,0.00069792004,0.0016918993,-0.00814151,-0.0037400478,-0.009434047,-0.005400428,-0.000290647,-0.0025436413,-0.004595616,-0.0038407284,-0.0008650037,0.0007184634,0.00063455926,0.0007751038,0.0012582776,14241_AV.wav,0
-480.5163,55.80769,45.635223,39.660038,35.63718,32.032036,28.361044,24.894747,21.651304,18.52951,15.513765,12.724698,10.186425,0.016857417,0.002884481,-0.03497641,-0.050459158,-0.039528333,-0.025815303,-0.020545928,-0.013395129,0.0006395747,0.011308015,0.014385199,0.017518746,0.02315765,-0.009104937,-0.011864556,-0.017693527,-0.025337387,-0.016732825,-0.0058201947,-0.010066075,-0.016095249,-0.013323045,-0.010019577,-0.011548238,-0.013025071,-0.009490408,14241_MV.wav,0
-449.34885,85.86602,54.781124,44.082912,38.098827,33.388535,29.009212,25.05643,21.482662,18.302599,15.292183,12.521947,10.052203,0.041924648,0.022424558,-0.008096121,-0.01217356,-0.006358777,-0.0045329444,-0.008136124,-0.007978571,-0.004974275,-0.003323444,-0.004591864,-0.004788635,-0.0024263177,-0.024829138,-0.009909627,-0.007148521,-0.005896291,0.00022656577,-0.001917458,-0.00176483,-7.676341e-05,-0.00021900439,-0.00010271318,0.00054850534,0.0014993091,0.0021092736,14241_PV.wav,0
-465.4432,65.224075,47.72856,40.308937,36.14249,32.23061,28.304026,24.606634,21.30638,18.260866,15.191637,12.271101,9.627554,-0.102637105,-0.121731766,-0.09797185,-0.066151835,-0.023564266,-0.0077216243,-0.013700741,-0.010965558,-0.00073060626,-0.008227503,-0.022350673,-0.01952233,-0.0017254897,-0.0028551023,-0.005578507,-0.02136571,-0.024177356,0.0058955057,0.01479452,-0.0001907672,0.0027391843,0.009586253,-0.0009594772,-0.013657829,-0.011119747,2.1792362e-06,14241_TV.wav,0
-438.70682,88.168365,55.73568,44.064766,38.075478,33.269222,28.70252,24.610428,20.985863,17.781183,14.757808,11.996009,9.576412,0.017542647,0.016394835,-0.002167665,-0.008908368,-0.00526893,-0.0032242944,-0.0050569912,-0.0058956174,-0.002455841,-0.00046637695,-0.0010722879,-0.0008078312,0.00044376592,-0.0636995,-0.02985371,0.003994762,0.003035602,0.002893361,0.001788827,0.0033692177,0.0055802185,0.0043409313,0.0010850674,0.00044357355,0.0018583626,0.0017208707,14998_AV.wav,0
-462.427,68.48707,48.441257,40.97374,36.024128,31.972061,27.822495,24.025667,20.781551,17.8834,14.976727,12.271723,9.961884,0.113327295,0.053192504,-0.00870212,-0.0051395227,-0.0033318189,-0.0019667407,-0.0039178184,-0.004655211,-0.0031767823,-0.0021094128,-0.003008933,-0.0033551324,-0.0020817667,0.0006391146,0.0027990446,-0.0023338965,-0.0013956215,-0.0010738549,0.0004190539,-0.00044422393,-0.0013888066,-3.0061045e-05,0.00061962043,0.00025513794,0.00017048491,0.00077561213,14998_MV.wav,0
